"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahamas, The","BHS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","188280037.525006","210281969.037494","235351509.839431","266061222.620851","299222750.267667","339896185.829393","389425893.575817","453681731.821213","494517987.584605","541492648.281074","567006850.377966","679535213.255205","710279951.8564","876724605.230371","951108323.325228","1131143790.20881","1278325879.29655","1522604893.83921","1535991444.11922","1616151592.224","1637910278.16711","1544475110.83645","1668380607.31","1926459006.91616","2296710065.58537","2720690553.22072","3240635263.83987","3692325865.89549","3599973140.48391","3516005361.3213","3627637367.64943","3620292421.36301","3773409915.90291","3995583267.23116","4524381725.2606","3920519700.13146","4581068652.04059","5582276419.47086","6057425092.71449","6325517058.26864","6562473475.86323","6834449505.53988","7345854486.21397","7740750208.02119","7929048670.29353","8167700556.29549","8295780396.14899","7903364849.3313","7814165421.64777","7807035418.3351","7986881118.18693","8028098127.22148","8161888103.15077","8269016482.85917","",
"Bosnia and Herzegovina","BIH","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2875913666.69696","3782196014.26806","4960336194.3928","5240627571.22871","5571967140.63511","6029457851.59511","6637842375.19053","7691983335.62342","9623585514.57736","11758845176.6923","12985587344.981","14741207084.1872","17756360988.2943","18587913201.4871","18344090806.1814","18313353650.4299","17953850594.9114","18632028903.954","18393235050.2929","17821701017.7002","",
"Belarus","BLR","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17023853780.381","16290586810.0205","14901377105.1093","13920967614.6388","14726249832.2027","15513437501.1153","15627845365.8231","14076152459.5954","13772555676.4851","12918229957.8206","13639785967.2749","15937177521.7391","21168875412.7203","27217492225.3278","33761156971.5383","41176296763.5866","52095902279.2095","53147530205.2531","56862110767.0028","58041066261.6116","60552729313.4498","64231478521.4046","69617901305.3366","61422159540.9571","",
"Belize","BLZ","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","31790498.158009","33773267.8613584","35978344.8264982","39090906.7508433","43098817.1298851","47247511.7036081","48696673.7565958","49636626.5549898","51620037.6199395","56173516.9129959","65850449.423425","77516233.5494969","95608917.3014378","112442978.062674","107821099.235977","117099226.694976","128662105.594987","158196087.822751","205937832.773989","210026015.912491","192228288.405552","176323230.87061","181596739.563771","194954572.421167","227666703.311675","275760265.841889","326494829.48136","371180398.919513","418416668.676827","455716263.774359","517212848.405886","549503135.686745","563278912.114847","592938485.40482","617346936.196507","639510504.016267","643440439.701829","685920762.364649","779751684.965213","801137273.821745","845928745.510383","929567298.952488","992494364.993792","1041222169.92354","1099932999.00254","1115725820.46971","1206055632.44587","1297128767.42525","1277230970.52647","1362987296.56109","1432774437.74062","1493937638.674","1558175800.94302","1589644846.92145","",
"Bermuda","BMU","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","101020617.849543","103133764.933726","115558704.882757","123406062.823551","144470552.667435","166795582.537125","171697811.581801","180438733.729437","196388330.908805","219088361.786198","246373722.704551","291944818.771533","346454386.216783","401302668.386387","441158980.981874","478238950.940253","518830572.018796","575771698.478711","699065834.609906","777336485.81594","759980792.094681","829157959.57327","931451796.273383","1016836211.57449","1214742354.50898","1390423914.72355","1552984509.99029","1559537559.3123","1605479678.10345","1616975712.00502","1699099795.9905","1819770144.89293","1882075403.77613","2048861894.88451","","","","","","","","","","","","7633498267.85062","7864787750.08338","7323676392.59775","7192513833.17832","6942456235.84222","6873693138.65871","6899462134.79822","","","",
"Bolivia","BOL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","1059864948.34522","1170533890.54552","1344957830.694","1509605908.49608","1909972105.47748","2431628196.37361","2951815196.48543","3234163390.38771","3718813581.70712","4405302914.21485","4871857626.05005","5877342957.75186","5039199966.62287","5164434333.34199","5143307640.88861","5104808203.72529","4672955231.38762","4648925377.13306","4697709135.69241","4845641378.29532","4943714275.16979","5192476025.34839","5508295365.92865","5787631206.15856","6070974514.83117","6467459258.47251","7039308067.32277","7562960597.65409","8000762183.32096","8051919509.74237","8287322599.0449","8178351043.75532","8013282699.80711","8087318381.15017","8660873066.76618","9396877318.21806","10417503030.7622","11706828102.3355","14340350233.0708","16050435913.7676","17924588206.2404","20274238997.1922","23313229274.5702","27255049593.6641","30344021885.6556","33036925033.888","",
"Brazil","BRA","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","18037914377.9098","19707773087.5974","22217498254.9394","23177838763.5336","23652719263.6785","27284844196.4267","33783381116.4391","38464481847.5918","42676319834.3488","49333934414.1925","59181570691.8089","77769954639.8913","102771057123.645","126660628603.433","149591618100.551","167757714503.168","193343515409.989","232359917428.957","265943037420.998","258616663815.923","254812549863.468","223410392284.418","215480414611.018","213647286293.257","248978509417.029","288960953821.376","325226621205.021","404313302388.914","407396519747.757","496943272786.7","488536360423.024","484379062394.234","482312479827.048","599079583449.628","738522781261.546","844814070570.751","822021294970.529","710242148581.063","675790071752.264","586438955950.903","550998615464.871","536557599776.861","609948809441.339","736137537129.463","898062843053.353","1152771794401.6","1427429227957.63","1572431407312.16","1916259918945.84","2207921370327.45","2432060895650.26","2486873995686.96","2429860930043.96","2047109614135.39","",
"Barbados","BRB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","934574903.023611","952700036.893309","1057576012.29578","1137698362.51322","1270875654.27638","1451285620.05077","1618186572.33479","1721676805.1312","1995342356.02561","1967497771.09032","1956006602.0209","2011669089.65339","2120080606.45718","2234991103.88498","2356470488.22152","2477641410.02055","2589848574.55302","2710220420.54783","2986574499.73672","2952233763.60742","2973901757.53679","3160710835.58075","3449105214.30263","3732175957.64465","4025722103.27351","4324109746.06199","4432344885.62802","4402308286.72196","4432681132.08183","4415969324.60331","4310742796.48195","4242973308.33711","4210393691.93856","4207741086.52393","",
"Brunei Darussalam","BRN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3039388897.70658","3223742291.00672","3615543330.75103","4152276578.08896","4233401384.6817","4367066984.25878","4659608872.7284","4938511105.78279","5059605338.99695","4603000559.83644","4579468525.11658","4892094600.69235","5465151266.52735","5942531903.42127","6290382166.31388","7184962885.19403","8429133513.20868","10210159516.1526","11595950032.3107","12956614018.5544","12460515788.8653","","","15132860738.7938","","","","",
"Bhutan","BTN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","123578596.146614","119619852.643934","134961598.537583","140353844.382124","168350821.339412","243529407.313146","280008790.703787","297979946.260657","309821167.900242","267854394.196656","252933232.516443","235128980.166994","251041641.99507","260798549.825127","288336406.813236","318569966.169687","310137299.314305","338025657.985815","438794480.54991","476373452.665972","516184443.557332","586131471.874117","680300627.038813","797661159.71477","894180872.303584","1112865113.25861","1215755286.00549","1296285018.86694","1430276271.2006","1592524546.86182","1721775938.86816","1766801209.3567","1810509190.99075","1838529730.10216","",
